n01440764 丁鯛，丁魚歲
n01443537 金魚，鯽魚
n01484850 大白鯊，大白鯊，食人，食人鯊，大白鯊
n01491361 虎鯊，Galeocerdo cuvieri
n01494475 鎚頭，鎚頭鯊
n01496331 電動射線，crampfish，numbfish，魚雷
n01498041 黃貂魚
n01514668 公雞
n01514859 hen
n01518878 鴕鳥，鴕鳥屬野駱駝
n01530575 燕雀，燕雀
n01531178 金翅雀，黃雀黃雀
n01532829 房子雀，紅雀，朱雀mexicanus
n01534433 洪科，雪鳥
n01537544 靛藍彩旗，靛雀，鳥靛藍，白色霞的Passerina
n01558993 羅賓，羅賓美國，鶇migratorius
n01560419 夜鶯
n01580077 松鴉
n01582220 鵲
n01592084 山雀
n01601694 水黑乙鳥，鬥
n01608432 風箏
n01614925 白頭鷹，美國鷹，白頭海雕
n01616318 禿鷲
n01622779 烏林鴞，烏林鴞，Strix的豹
n01629819 歐洲火蠑螈，蠑螈
n01630670 常見蠑螈，Triturus尋常
n01631663 是
n01632458 斑點鈍口螈，Ambystoma maculatum
n01632777 蠑螈，泥小狗，Ambystoma mexicanum
n01641577 牛蛙，牛蛙
n01644373 樹蛙，綠樹蛙
n01644900 尾蟾，鐘蟾蜍，蟾蜍棱紋，尾蟾蜍，Ascaphus trui
n01664065 海龜，海龜，科圓科圓
n01665541 棱皮龜，棱皮，革龜，棱皮龜
n01667114 泥龜
n01667778 龜鱉
n01669191 箱龜，龜盒
n01675722 帶狀壁虎
n01677366 常見的綠鬣蜥，鬣蜥，鬣蜥鬣蜥
n01682714 美國變色龍，阿諾立，安樂蜥
n01685808 鞭尾，鞭尾蜥蜴
n01687978 宗教
n01688243 皺褶蜥蜴，傘蜥蜴kingi
n01689811 鱷蜥
n01692333 毒蜥，毒蜥屬suspectum
n01693334 綠色的蜥蜴，蝎虎座貽貝
n01694178 非洲變色龍，避役屬蝘蜓
n01695060 科莫多龍，科莫多蜥蜴，龍蜥，巨蜥，巨蜥komodoensis
n01697457 非洲鱷，尼羅鱷，尼羅鱷
n01698640 美洲短吻鱷，密西西比鱷
n01704323 三角龍
n01728572 雷聲蛇，蟲蛇，Carphophis amoenus
n01728920 ringneck蛇，環頸蛇，環蛇
n01729322 豬鼻蛇，粉撲加法器，沙毒蛇
n01729977 青蛇，草蛇
n01734418 王蛇，王蛇屬
n01735189 烏梢蛇，草蛇
n01737021 水蛇
n01739381 藤蛇
n01740131 晚上蛇，Hypsiglena torquata
n01742172 蟒蛇，大蟒的巨蟒
n01744401 岩蟒，蛇石，巨蟒鯛
n01748264 印度眼鏡蛇，眼鏡蛇
n01749939 綠曼巴
n01751748 海蛇
n01753488 角蝰，cerastes，沙毒蛇，有角的ASP，Cerastes cornutus
n01755581 菱，菱響尾蛇，響尾蛇adamanteus
n01756291 響尾蛇，有角響尾蛇，響尾蛇cerastes
n01768244 三葉蟲
n01770081 harvestman，成年長腿，Phalangium opilio
n01770393 蠍
n01773157 黑色和金色花園蜘蛛，金蛛aurantia
n01773549 穀倉蜘蛛，圓蛛cavaticus
n01773797 花園蜘蛛，蜘蛛冠冕。
n01774384 黑寡婦，黑寡婦蜘蛛
n01774750 狼蛛
n01775062 狼蛛，狩獵蜘蛛
n01776313 蜱
n01784675 蜈
n01795545 黑琴雞
n01796340 鷓鴣
n01797886 披肩松雞，鷓鴣，斑尾榛umbellus
n01798484 草原雞，草原雞，草原雞
n01806143 孔雀
n01806567 鵪鶉
n01807496 鷓鴣
n01817953 非洲灰，非洲灰，Psittacus鴝
n01818515 金剛鸚鵡
n01819313 葵花鳳頭鸚鵡，Kakatoe galerita，Cacatua galerita
n01820546 吸蜜
n01824575 褐翅鴉鵑
n01828970 蜂虎
n01829413 犀鳥
n01833805 蜂鳥
n01843065 Jacamar
n01843383 巨嘴鳥
n01847000 鴨
n01855032 紅胸秋沙鴨，中華秋沙serrator
n01855672 鵝
n01860187 黑天鵝，天鵝atratus
n01871265 塔斯克
n01872401 針鼴，針鼴，食蟻獸
n01873310 鴨嘴獸，鴨嘴，鴨嘴獸鴨嘴獸，鴨嘴獸anatinus
n01877812 袋鼠，袋鼠刷
n01882714 考拉，​​考拉熊，袋鼠熊，熊本土，樹袋熊屬灰
n01883070 袋熊
n01910747 海蜇
n01914609 海葵，海葵
n01917289 腦珊瑚
n01924916 扁蟲，扁形動物
n01930112 線蟲，線蟲，蛔蟲
n01943899 海螺
n01944390 蝸牛
n01945685 金屬塊
n01950731 海參，海蛞蝓
n01955084 寬大長袍，外套的郵件殼，海搖籃，polyplacophore
n01968897 鸚鵡螺，珍珠鸚鵡螺，鸚鵡螺
n01978287 珍寶蟹，癌症魔導師
n01978455 石蟹，斑紋黃道蟹
n01980166 招潮蟹
n01981276 帝王蟹，阿拉斯加蟹，阿拉斯加帝王蟹，阿拉斯加帝王蟹，Paralithodes camtschatica
n01983481 美國龍蝦，龍蝦北部，緬因州龍蝦，龍蝦美洲
n01984695 龍蝦，龍蝦，龍蝦，小龍蝦，小龍蝦，小龍蝦海
n01985128 小龍蝦，小龍蝦，小龍蝦，crawdaddy
n01986214 寄居蟹
n01990800 等足
n02002556 白鸛，東方白鸛
n02002724 黑鸛，黑鸛
n02006656 鷺
n02007558 火烈鳥
n02009229 小藍蒼鷺，白鷺翠
n02009912 美國白鷺，大白鷺，黃嘴白鷺黃鱔
n02011460 鹵水
n02012849 起重機
n02013706 秧鶴，紅腹錦雞Aramus
n02017213 歐洲gallinule，Porphyrio porphyrio
n02018207 美國黑鴨，沼澤母雞，母雞泥，水母雞，大蝸牛美洲
n02018795 鴇鳥
n02025239 翻石鷸，無心菜interpres
n02027492 紅背鷸，黑腹濱鷸，Erolia高山
n02028035 redshank，磯鷸
n02033041 dowitcher
n02037110 蠣，蠣鷸
n02051845 鵜
n02056570 王企鵝，學名：Aptenodytes patagonica
n02058221 信天翁，mollymawk
n02066245 灰鯨，灰鯨，章魚，Eschrichtius gibbosus，Eschrichtius粗壯
n02071294 虎鯨，殺手，逆戟鯨，鯨，海狼，Orcinus ORCA
n02074367 儒艮，儒艮dugon
n02077923 海獅
n02085620 奇瓦瓦
n02085782 日本獵犬
n02085936 馬爾濟斯犬，馬耳他犬，馬耳他
n02086079 北京人，北京人，PEKE
n02086240 西施
n02086646 布萊尼姆獵犬
n02086910 蝴蝶
n02087046 玩具梗
n02087394 羅德西亞背脊犬
n02088094 阿富汗獵犬，阿富汗
n02088238 短腿獵犬，巴吉度獵犬
n02088364 小獵犬
n02088466 獵犬，sleuthhound
n02088632 bluetick
n02089078 黑色和棕褐色coonhound
n02089867 沃克獵犬，獵狐犬沃克
n02089973 英語獵狐犬
n02090379 redbone
n02090622 拉布拉多獵犬，俄羅斯獵狼犬
n02090721 愛爾蘭獵狼犬
n02091032 意大利灰狗
n02091134 惠比特犬
n02091244 的Ibizan獵犬，Ibizan的Podenco
n02091467 挪威elkhound，elkhound
n02091635 購買otterhound，水獺獵犬
n02091831 薩路基，瞪羚獵犬
n02092002 蘇格蘭獵鹿犬，獵鹿犬
