n01440764	tench，Tinca tinca
n01443537	金魚，鯽魚
n01484850	大白鯊，白鯊，食人魚，吃人的鯊魚，Carcharodon carcharias
n01491361	虎鯊，Galeocerdo cuvieri
n01494475	鎚頭，鎚頭鯊
n01496331	電光線，鯰魚，麻魚，魚雷
n01498041	黃貂魚
n01514668	公雞
n01514859	母雞
n01518878	鴕鳥，鴕鳥
n01530575	br ling。。。。。
n01531178	金翅雀，Carduelis carduelis
n01532829	家庭雀，linnet，carpodacus mexicanus
n01534433	junco，雪鳥
n01537544	靛藍旗，靛藍雀，靛藍鳥，Passerina cyanea
n01558993	羅賓，美國知更鳥，Turdus migratorius
n01560419	夜鶯
n01580077	松鴉
n01582220	鵲
n01592084	山雀
n01601694	水盎司，杓子
n01608432	風箏
n01614925	禿鷹，美國鷹，Haliaeetus leucocephalus
n01616318	禿鷲
n01622779	偉大的灰色貓頭鷹，偉大的灰色貓頭鷹，Strix nebulosa
n01629819	歐洲火蠑螈Salamandra salamandra
n01630670	普通蠑螈，尋常。魚
n01631663	鯢
n01632458	斑點蠑螈，惡臭腫
n01632777	axolotl，泥小狗，Ambientoma mexicanum
n01641577	牛蛙，拉娜catesbeiana
n01644373	樹蛙，樹蛙
n01644900	尾巴青蛙，鐘蟾蜍，肋骨蟾蜍，尾巴蟾蜍，Ascaphus trui
n01664065	log head head head head head。。。。。。。。
n01665541	皮革龜，皮革，革質龜，Dermochelys coriacea
n01667114	泥龜
n01667778	龜鱉
n01669191	盒龜，盒龜
n01675722	帶狀壁虎
n01677366	普通鬣蜥，鬣蜥，鬣蜥鬣蜥
n01682714	美國變色龍，安妮，安娜·卡羅林
n01685808	whiptail，whiptail蜥蜴
n01687978	阿含
n01688243	褶邊蜥蜴，披衣龍王座
n01689811	鱷魚蜥蜴
n01692333	吉拉怪物，Heloderma suspectum
n01693334	綠蜥蜴，蝎虎座
n01694178	非洲變色龍，Chamaeleo chamaeleon
n01695060	科莫多龍，科莫多蜥蜴，龍蜥蜴，巨蜥，梧桐
n01697457	非洲鱷，尼羅河鱷魚，鱷魚尼羅羅非魚
n01698640	美國鱷魚，短吻鱷
n01704323	三角龍
n01728572	雷蛇，蠕蟲蛇，Carphophis amoenus
n01728920	環蛇，環頸蛇，環蛇
n01729322	希臘蛇，煙熏加法器，沙vi蛇
n01729977	綠蛇，草蛇
n01734418	國王蛇，金星
n01735189	襪帶蛇，草蛇
n01737021	水蛇
n01739381	藤蛇
n01740131	夜蛇，Hypsiglena torquata
n01742172	肛門縮窄，收縮狹窄
n01744401	岩石蟒蛇，岩蛇，蟒蛇
n01748264	印度眼鏡蛇，Naja naja
n01749939	綠色曼巴
n01751748	海蛇
n01753488	角per蛇，沙vi蛇，角asp，。。
n01755581	菱紋背景，菱紋背景響尾蛇（Crotalus adamanteus）
n01756291	側耳，角響尾蛇，Crotalus cerastes
n01768244	三葉蟲
n01770081	收穫者，爸爸longlegs，Phalangium opilio
n01770393	蠍
n01773157	黑色和金色花園蜘蛛，Argiope aurantia
n01773549	穀倉蜘蛛，Araneus cavaticus
n01773797	花園蜘蛛，Aranea diademata
n01774384	黑寡婦，Latrodectus mactans
n01774750	狼蛛
n01775062	狼蜘蛛，狩獵蜘蛛
n01776313	蜱
n01784675	蜈
n01795545	黑松雞
n01796340	鷓鴣
n01797886	蓬鬆的松雞，鷓鴣，Bonasa umbellus
n01798484	草原雞，草原松雞，草原雞
n01806143	孔雀
n01806567	鵪鶉
n01807496	鷓鴣
n01817953	非洲灰色，非洲灰色，Psittacus erithacus
n01818515	金剛鸚鵡
n01819313	硫磺冠鸚鵡，卡卡託加勒比（Cakatua galerita）
n01820546	吸蜜
n01824575	褐翅鴉鵑
n01828970	蜜蜂
n01829413	犀鳥
n01833805	蜂鳥
n01843065	jacamar
n01843383	巨嘴鳥
n01847000	鴨
n01855032	紅領子，芒格斯（Sergler）serrator
n01855672	鵝
n01860187	黑天鵝，天鵝座atratus
n01871265	塔斯克
n01872401	雌蕊，多刺的食蟻獸，蟻食
n01873310	鴨嘴獸，鴨嘴鴨，鴨嘴鴨鴨嘴鴨，鴨嘴鴨鴨嘴獸，Ornithorhynchus anatinus
n01877812	小袋鼠，刷袋鼠
n01882714	考拉，​​考拉熊，袋鼠熊，本地熊，灰胡椒
n01883070	袋熊
